KEPH,Facility_category,Owner,County,whole_day,public_holidays,weekends,late_night
Level 2,MEDICAL CLINIC,Private Practice,Nyeri,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nyeri,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Nyeri,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Nyeri,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nyeri,No,Yes,Yes,No
Level 2,DISPENSARY,Ministry of Health,Nyeri,No,No,No,No
Level 3,None,Private Practice,Kilifi,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Mandera,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kericho,No,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Nakuru,No,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Kajiado,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kiambu,No,No,No,No
Level 2,MEDICAL CENTER,Private Practice,Kiambu,No,Yes,No,Yes
Level 2,MEDICAL CLINIC,Private Practice,Turkana,No,Yes,Yes,Yes
Level 3,HOSPITALS,Private Practice,Kisii,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Kirinyaga,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Machakos,No,Yes,Yes,No
Level 3,MEDICAL CENTER,Private Practice,Nairobi,No,Yes,Yes,Yes
Level 3,MEDICAL CENTER,Private Practice,Nairobi,No,Yes,Yes,No
Level 3,HEALTH CENTRE,Private Practice,Siaya,Yes,Yes,Yes,Yes
Level 2,STAND ALONE,Private Practice,Kirinyaga,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kirinyaga,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kisii,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Kirinyaga,No,No,No,No
Level 4,HOSPITALS,Private Practice,Kakamega,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,No,Yes,Yes,Yes
Level 3,NURSING HOME,Private Practice,Machakos,Yes,Yes,Yes,Yes
Level 2,STAND ALONE,Non-Governmental Organizations,Nairobi,No,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Kakamega,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kiambu,No,Yes,Yes,No
Level 2,DISPENSARY,Ministry of Health,Kakamega,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kiambu,No,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Kiambu,Yes,Yes,Yes,Yes
Level 2,DISPENSARY,Ministry of Health,Vihiga,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kakamega,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kericho,Yes,Yes,Yes,Yes
Level 2,DISPENSARY,Ministry of Health,Migori,No,No,No,No
Level 2,NURSING HOME,Private Practice,Mandera,Yes,Yes,Yes,Yes
Level 2,DISPENSARY,Ministry of Health,Kakamega,No,No,No,No
Level 4,HOSPITALS,Private Practice,Kisumu,Yes,Yes,Yes,Yes
Level 3,MEDICAL CLINIC,Private Practice,Nairobi,Yes,Yes,Yes,Yes
Level 2,STAND ALONE,Private Practice,Lamu,No,No,No,No
Level 3,MEDICAL CENTER,Private Practice,Embu,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,No,No,Yes,No
Level 2,MEDICAL CLINIC,Ministry of Health,Bomet,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Samburu,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Samburu,No,No,Yes,No
Level 2,MEDICAL CENTER,Private Practice,Bungoma,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,No,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Kwale,No,No,No,No
Level 3,STAND ALONE,Private Practice,Kiambu,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Migori,No,Yes,Yes,Yes
Level 2,STAND ALONE,Private Practice,Kiambu,No,No,No,No
Level 3,NURSING HOME,Private Practice,Mandera,Yes,No,No,No
Level 3,NURSING HOME,Private Practice,Machakos,Yes,No,No,No
Level 3,MEDICAL CENTER,Private Practice,Nakuru,Yes,Yes,Yes,Yes
Level 3,NURSING HOME,Private Practice,Mandera,Yes,Yes,Yes,Yes
Level 3,MEDICAL CENTER,Private Practice,Kisii,Yes,Yes,Yes,Yes
Level 2,DISPENSARY,Ministry of Health,Kwale,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Bungoma,No,No,No,No
Level 2,MEDICAL CLINIC,Faith Based Organization,Kilifi,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kiambu,No,Yes,Yes,Yes
Level 2,MEDICAL CENTER,Private Practice,Kitui,No,No,No,No
Level 3,MEDICAL CENTER,Private Practice,Nakuru,No,No,No,No
Level 4,MEDICAL CENTER,Private Practice,Kirinyaga,Yes,Yes,Yes,Yes
Level 2,DISPENSARY,Ministry of Health,Vihiga,No,No,No,No
Level 2,MEDICAL CLINIC,Non-Governmental Organizations,Mombasa,No,No,Yes,No
Level 3,NURSING HOME,Private Practice,Mandera,Yes,Yes,Yes,Yes
Level 3,HOSPITALS,Faith Based Organization,Nairobi,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kisumu,No,No,No,No
Level 4,HOSPITALS,Non-Governmental Organizations,Kisii,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Laikipia,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Lamu,Yes,Yes,Yes,Yes
Level 2,DISPENSARY,Ministry of Health,Isiolo,Yes,No,No,No
Level 3,NURSING HOME,Private Practice,Mandera,Yes,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Vihiga,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Vihiga,No,Yes,No,No
Level 3,NURSING HOME,Private Practice,Isiolo,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Kiambu,No,No,No,Yes
Level 2,MEDICAL CLINIC,Private Practice,Kilifi,No,No,No,No
Level 3,MEDICAL CENTER,Private Practice,Nairobi,Yes,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Samburu,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Nakuru,No,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Narok,No,No,No,No
Level 2,DISPENSARY,Non-Governmental Organizations,Turkana,No,No,No,No
Level 2,DISPENSARY,Non-Governmental Organizations,Turkana,No,No,No,No
Level 4,HOSPITALS,Non-Governmental Organizations,Turkana,Yes,Yes,Yes,Yes
Level 2,DISPENSARY,Non-Governmental Organizations,Turkana,No,No,No,No
Level 2,DISPENSARY,Non-Governmental Organizations,Turkana,No,No,No,No
Level 3,MEDICAL CENTER,Private Practice,Vihiga,Yes,Yes,Yes,Yes
Level 3,MEDICAL CENTER,Private Practice,Nairobi,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Nakuru,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nakuru,No,No,No,No
Level 3,MEDICAL CENTER,Private Practice,Nairobi,No,Yes,Yes,Yes
Level 4,HOSPITALS,Private Practice,Meru,Yes,Yes,Yes,No
Level 3,NURSING HOME,Private Practice,Uasin Gishu,Yes,Yes,Yes,Yes
Level 2,DISPENSARY,Ministry of Health,Nyeri,No,No,No,No
Level 3,NURSING HOME,Private Practice,Siaya,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Nyandarua,Yes,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Turkana,Yes,Yes,Yes,Yes
Level 3,MEDICAL CENTER,Private Practice,Makueni,Yes,Yes,Yes,Yes
Level 3,MEDICAL CENTER,Private Practice,Migori,Yes,Yes,Yes,Yes
Level 4,HOSPITALS,Private Practice,Kwale,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Kwale,No,No,Yes,No
Level 4,HOSPITALS,Private Practice,Makueni,Yes,Yes,Yes,Yes
Level 2,STAND ALONE,Private Practice,Kirinyaga,No,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Kirinyaga,No,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Kirinyaga,No,Yes,No,Yes
Level 2,MEDICAL CLINIC,Private Practice,Mombasa,No,Yes,Yes,No
Level 2,STAND ALONE,Private Practice,Mombasa,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nyamira,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Taita Taveta,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kitui,No,No,No,No
Level 2,STAND ALONE,Private Practice,Kisii,No,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,Yes,Yes,Yes,Yes
Level 4,HOSPITALS,Private Practice,Meru,Yes,Yes,Yes,Yes
Level 2,MEDICAL CENTER,Private Practice,Nakuru,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Siaya,No,Yes,Yes,No
Level 3,NURSING HOME,Private Practice,Nairobi,Yes,Yes,Yes,Yes
Level 2,DISPENSARY,Private Practice,Kitui,No,No,No,No
Level 4,HOSPITALS,Private Practice,Kiambu,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Kisumu,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Machakos,No,Yes,Yes,No
Level 3,MEDICAL CENTER,Private Practice,Isiolo,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Baringo,Yes,Yes,Yes,Yes
Level 2,DISPENSARY,Ministry of Health,Kwale,No,No,No,No
Level 3,HEALTH CENTRE,Private Practice,Kitui,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Wajir,Yes,Yes,Yes,Yes
Level 3,NURSING HOME,Private Practice,Isiolo,Yes,Yes,Yes,Yes
Level 3,NURSING HOME,Private Practice,Mombasa,Yes,No,No,No
Level 2,DISPENSARY,Ministry of Health,Vihiga,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kajiado,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Homa Bay,No,No,No,No
Level 3,MEDICAL CENTER,Private Practice,Mandera,Yes,Yes,Yes,Yes
Level 4,HOSPITALS,Private Practice,Meru,Yes,Yes,Yes,Yes
Level 2,DISPENSARY,Ministry of Health,Garissa,Yes,Yes,Yes,Yes
Level 2,DISPENSARY,Ministry of Health,Garissa,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,Yes,Yes,Yes,Yes
Level 3,MEDICAL CENTER,Private Practice,Nairobi,No,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Machakos,No,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,No,Yes,Yes,No
Level 3,MEDICAL CENTER,Private Practice,Nairobi,No,Yes,Yes,No
Level 2,DISPENSARY,Ministry of Health,Nandi,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Meru,No,No,No,No
Level 2,STAND ALONE,Private Practice,Kiambu,No,Yes,Yes,No
Level 2,STAND ALONE,Private Practice,Nyeri,Yes,Yes,Yes,Yes
Level 2,DISPENSARY,Ministry of Health,Kwale,No,No,No,No
Level 4,HOSPITALS,Private Practice,Uasin Gishu,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Nyeri,No,No,No,No
Level 2,MEDICAL CLINIC,Faith Based Organization,Kitui,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,No,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Bomet,Yes,No,No,No
Level 3,MEDICAL CENTER,Private Practice,Kiambu,No,No,No,No
Level 3,MEDICAL CENTER,Private Practice,Nairobi,No,Yes,Yes,Yes
Level 3,MEDICAL CENTER,Private Practice,Nairobi,No,No,Yes,Yes
Level 2,DISPENSARY,Ministry of Health,Vihiga,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Homa Bay,No,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Kericho,No,No,No,No
Level 3,NURSING HOME,Private Practice,Mandera,Yes,No,No,No
Level 3,MEDICAL CENTER,Private Practice,Uasin Gishu,Yes,Yes,Yes,Yes
Level 3,NURSING HOME,Private Practice,Nairobi,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Busia,No,Yes,Yes,No
Level 2,DISPENSARY,Ministry of Health,Busia,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kilifi,No,No,No,No
Level 4,HOSPITALS,Private Practice,Nairobi,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Kiambu,No,No,No,Yes
Level 2,DISPENSARY,Ministry of Health,Vihiga,No,No,No,No
Level 2,STAND ALONE,Private Practice,Kitui,No,No,No,No
Level 4,HOSPITALS,Private Practice,Kilifi,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Narok,No,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Kisumu,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Vihiga,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Vihiga,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kajiado,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kiambu,No,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Kiambu,No,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Kiambu,No,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Kiambu,No,No,No,No
Level 4,HOSPITALS,Private Practice,Kiambu,Yes,Yes,Yes,Yes
Level 3,MEDICAL CENTER,Private Practice,Nyamira,Yes,Yes,Yes,Yes
Level 3,NURSING HOME,Private Practice,Mandera,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Migori,Yes,Yes,Yes,Yes
Level 3,MEDICAL CENTER,Private Practice,Mandera,Yes,Yes,Yes,Yes
Level 2,DISPENSARY,Ministry of Health,Kilifi,No,No,No,No
Level 3,MEDICAL CENTER,Private Practice,Nakuru,No,Yes,Yes,No
Level 2,DISPENSARY,Ministry of Health,Homa Bay,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Machakos,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kirinyaga,No,Yes,Yes,No
Level 3,HEALTH CENTRE,Ministry of Health,Marsabit,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Turkana,No,Yes,Yes,Yes
Level 2,DISPENSARY,Ministry of Health,Marsabit,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kiambu,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Nandi,No,No,No,No
Level 3,NURSING HOME,Private Practice,Nakuru,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Narok,No,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Nakuru,No,Yes,Yes,No
Level 3,NURSING HOME,Private Practice,Nakuru,Yes,Yes,Yes,Yes
Level 2,DISPENSARY,Private Practice,Embu,No,Yes,Yes,No
Level 2,STAND ALONE,Private Practice,Nairobi,No,No,No,No
Level 3,MEDICAL CENTER,Private Practice,Nairobi,No,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Kakamega,No,Yes,Yes,No
Level 2,DISPENSARY,Private Practice,Narok,No,Yes,Yes,No
Level 2,DISPENSARY,Private Practice,Narok,No,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kakamega,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Kajiado,No,No,No,No
Level 3,NURSING HOME,Private Practice,Narok,No,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Narok,No,No,No,No
Level 3,NURSING HOME,Private Practice,Marsabit,Yes,Yes,Yes,Yes
Level 3,HEALTH CENTRE,Private Practice,Homa Bay,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Narok,Yes,No,Yes,No
Level 3,MEDICAL CENTER,Private Practice,Kwale,Yes,Yes,Yes,Yes
Level 3,MEDICAL CENTER,Private Practice,Kwale,Yes,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Kajiado,No,No,No,No
Level 3,NURSING HOME,Non-Governmental Organizations,Homa Bay,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Homa Bay,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Migori,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Baringo,Yes,Yes,Yes,Yes
Level 2,DISPENSARY,Ministry of Health,Kilifi,No,No,No,No
Level 4,HOSPITALS,Ministry of Health,Kakamega,Yes,No,No,No
Level 3,HEALTH CENTRE,Private Practice,Garissa,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Migori,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kajiado,No,No,No,No
Level 4,HOSPITALS,Private Practice,Kajiado,Yes,Yes,Yes,Yes
Level 3,MEDICAL CENTER,Private Practice,Kiambu,Yes,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Kiambu,No,No,No,No
Level 3,NURSING HOME,Private Practice,Kisii,Yes,Yes,Yes,Yes
Level 4,HOSPITALS,Private Practice,Nakuru,Yes,Yes,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Laikipia,No,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,Yes,Yes,Yes,Yes
